x	y
4227	1535
4230	1536
4233	1537
4236	1538
4239	1539
4242	1540
4246	1541
4249	1542
4252	1543
4255	1544
4258	1545
4262	1546
4265	1547
4268	1548
4271	1549
4274	1550
4278	1551
4281	1552
4284	1553
4287	1554
4290	1555
4293	1556
4297	1557
4300	1558
4303	1559
4306	1560
4309	1561
4313	1562
4316	1563
4319	1564
4322	1565
4325	1566
4329	1567
4332	1568
4335	1569
4338	1570
4341	1571
4345	1572
4348	1573
4351	1574
4354	1575
4357	1576
4361	1577
4364	1578
4367	1579
4370	1580
4373	1581
4377	1582
4380	1583
4383	1584
4386	1585
4389	1586
4393	1587
4396	1588
4399	1589
4402	1590
4405	1591
4409	1592
4412	1593
4415	1594
4418	1595
4421	1596
4425	1597
4428	1598
4431	1599
4434	1600
4437	1601
4441	1602
4444	1603
4447	1604
4450	1605
4453	1606
4457	1607
4460	1608
4463	1609
4466	1610
4469	1611
4473	1612
4476	1613
4479	1614
4482	1615
4486	1616
4489	1617
4492	1618
4495	1619
4498	1620
4502	1621
4505	1622
4508	1623
4511	1624
4514	1625
4518	1626
4521	1627
4524	1628
4527	1629
4530	1630
4534	1631
4537	1632
4540	1633
4543	1634
4547	1635
4550	1636
4553	1637
4556	1638
4559	1639
4563	1640
4566	1641
4569	1642
4572	1643
4575	1644
4579	1645
4582	1646
4585	1647
4588	1648
4592	1649
4595	1650
4598	1651
4601	1652
4604	1653
4608	1654
4611	1655
4614	1656
4617	1657
4621	1658
4624	1659
4627	1660
4630	1661
4633	1662
4637	1663
4640	1664
4643	1665
4646	1666
4650	1667
4653	1668
4656	1669
4659	1670
4662	1671
4666	1672
4669	1673
4672	1674
4675	1675
4679	1676
4682	1677
4685	1678
4688	1679
4691	1680
4695	1681
4698	1682
4701	1683
4704	1684
4708	1685
4711	1686
4714	1687
4717	1688
4720	1689
4724	1690
4727	1691
4730	1692
4733	1693
4737	1694
4740	1695
4743	1696
4746	1697
4750	1698
4753	1699
4756	1700
4759	1701
4762	1702
4766	1703
4769	1704
4772	1705
4775	1706
4779	1707
4782	1708
4785	1709
4788	1710
4792	1711
4795	1712
4798	1713
4801	1714
4804	1715
4808	1716
4811	1717
4814	1718
4817	1719
4821	1720
4824	1721
4827	1722
4830	1723
4834	1724
4837	1725
4840	1726
4843	1727
4847	1728
4850	1729
4853	1730
4856	1731
4859	1732
4863	1733
4866	1734
4869	1735
4872	1736
4876	1737
4879	1738
4882	1739
4885	1740
4889	1741
4892	1742
4895	1743
4898	1744
4902	1745
4905	1746
4908	1747
4911	1748
4915	1749
4918	1750
4921	1751
4924	1752
4928	1753
4931	1754
4934	1755
4937	1756
4941	1757
4944	1758
4947	1759
4950	1760
4954	1761
4957	1762
4960	1763
4963	1764
4966	1765
4970	1766
4973	1767
4976	1768
4979	1769
4983	1770
4986	1771
4989	1772
4992	1773
4996	1774
4999	1775
5002	1776
5005	1777
5009	1778
5012	1779
5015	1780
5018	1781
5022	1782
5025	1783
5028	1784
5031	1785
5035	1786
5038	1787
5041	1788
5044	1789
5048	1790
5051	1791
5054	1792
5058	1793
5061	1794
5064	1795
5067	1796
5071	1797
5074	1798
5077	1799
5080	1800
5084	1801
5087	1802
5090	1803
5093	1804
5097	1805
5100	1806
5103	1807
5106	1808
